id,text,video_url,iteration,created_at
1,Standard time. All things. Somebody could doctors. Thank you. ,https://www.youtube.com/watch?v=pinYGgnrDs8,61,2022-09-06 18:03:35
2,"Because that as lawmakers return from their recess likely will also be something that Republicans and Democrats are going to be talking about and whether or not it it that what they what the FBI yielded Pertinent information for oh I don't know the January 6 committee And I'm just curious as a quick follow up to that. Are any of the developments in Trump case? Used as leverage at all. Is there any bearing on anything from that in what you were just discussing in terms of negotiations on the continuous resolution? Well you could have a situation where there could be AA bipartisan group of lawmakers who come together in order to look into specifically the documents that were retrieved from the Marla Lago investigation by the FBI but from a broader standpoint it's just to Bad headlines for former President Trump now some in the Republican circles feel that those bad headlines are only gonna embolden his movement and get out the vote for far right Republican setting into the midterms but others say that it will have a reverse effect for more moderate leaning voters. Well, speaking of getting out the Right? President Biden is in Ohio. He's gonna be talking about the chips act but of course there is also some perhaps campaigning tinges that will be to his commentary. You know, this is really interesting because it was just a couple of weeks ago and nobody wanted to be caught with President Biden and now you've got Tim Ryan who's running for senate in Ohio ",https://www.youtube.com/watch?v=pinYGgnrDs8,62,2022-09-06 18:08:01
3,"Snow for a saws. Philadelphia Was at least 10% so there's a lot of pessimism that's still out there even after the pullback that we've already seen. That they they ever core investor base seems to like so they they some of the most popular long positions were another way of looking at would be buyer ratings let's just say Marvel they like that they're sticking with AMD which I'm not surprised Ambia has made a lot of people a lot of moneys under CO Lisa sue the past 3 years so they still like AMD Bite them warning on growth rates I believe about a month ago when they reported on semiconductor To be a favorite on ships and also Quacom friend of friend of the show continuing to push into automobiles. It also getting some love. Now, at the top, semi-conductor shorts here are isn't interesting list, Julie, I would say Video is now one of the top send videos on the long list Also not liking my crown that company Off. I would say argue all these warnings we've seen in the chip space of 2 months ago and they came out with earnings intel not a favorite. They have continue to struggle Texas instruments also not a fave with every course Yeah and Wolf speed on that list as well the company formally known as Cree wasn't this cree and now it's wolf wolf speed did I say wolf space wolf speed wolf is the the just ",https://www.youtube.com/watch?v=pinYGgnrDs8,63,2022-09-06 18:12:23
4,"Friday, of course, we got job numbers for the month of August, showing the US exceeded expectations when it came to adding jobs but unemployment did take up to three. Seven%. This has a new poll ",https://www.youtube.com/watch?v=pinYGgnrDs8,64,2022-09-06 18:16:37
5,"Croissant products your google products there is a component here that are specialized skills and so we see a strong demand in the trades we see a strong demand in health care once again they're not necessarily super Positions that require tremendous amount of trading but that entry-level skill so that people can enter as a CMA or some kind of other health care technician and then perhaps move further along in a career trajectory once they get into it. Steve for for lack of a better way to phrase this. Who's fault is this? In other words, is it companies that aren't training properly? Is it nonprofit organizations perhaps that Maybe more people don't have access to the kinds of services you guys provide. Is it the individuals themselves? We're not seeking out this kind of training. I mean, where's the gap here? Well there are a lot of gaps and this is a very long conversation and I I honestly I think it belongs in our secondary education system initially because a lot of a lot of young people are coming out of high school entering the job market and then moving into places where they're just they just don't have the fundamentals. I will say There are a lot of places where good things are happening. First of all, I do believe employers may especially some of the larger employers are investing heavily and training their own job force. To meet the needs as their own business of alls. And they're not only training them for those specific jobs. Many players are beginning to ",https://www.youtube.com/watch?v=pinYGgnrDs8,65,2022-09-06 18:21:03
6,Well actually see a lot of opportunity going forward even if the economy cools off a bit Steve Preston really interesting stuff CEO of Goodwill. Thanks for being here. Appreciate it. Thank you I don't know we get back to very different topic back to the Twitter and Elon Musk saga there's a hearing scheduled for Hey 1:30 PM: is the legal battle over the flop buyout continues our Lexus Keenan has the detail so what's this hearing about okay so this judge has her work cut out for her this is in Delaware chance and what she's going to consider our motions from both sides both from Elon Musk and from Twitter things that they want to happen in this case before it goes to trial so first is Musca is For a delay of trial he wants it to happen in November not October 17 when it's currently slated also wants to get some slack messages from Twitter to get some of their internal communications at the company also Musk is To add the whistleblower Peter Zatko's claims to his counter claims against Twitter. Remember that he filed a counter suit against them. So both of those actions are at play. Also Musk is asking for a rehearing and he's going to get it. The judge is going to His lawyers rearview a request that she's already denied to get more bot data from Twitter so trying to expand the scope of that information that Elon must want to get his hands on to find out if those bot numbers are true or false or otherwise also Twitter is going to have some of its motions heard it wants for one emails from space So internal communications at that company for Twitter side and also Twitter is asking for some sanctions against mosque alleging some misconduct head happened in the course of the discovery here so a lot for this judge to do 90 minutes for each ,https://www.youtube.com/watch?v=pinYGgnrDs8,66,2022-09-06 18:25:32
7,"Ye is still going off on Instagram turning his attention to Adidas his long time partner in authentic brands group in recent days on Adia specifically the rapper in South Proclaimed fashion icon suggested Adidas don't want no more smoke Julie has been interesting. I didn't realize that I wasn't following Kanye West on Instagram up until last week. I thought I was. Unless he's been posting photos of Adidas board members on his Instagram account really for the past week. He picked up those attacks on various known as the board and the management team over the weekend. He's he's contention continues to be that Adidas Has been copying his designs and trying to move his easy brand which now worth over one 1 billion dollars inside of Adidas just trying to move that brand four without his approval and liking so he's now taken to his Twitter account to and his Instagram Say and just really taken them to task I'd like I mean it seems like if there's actual Going forward to. Alright, here's another And Ben Stiller have been permanently banned from entering Russia along with 23 other US citizens Russian foreign ministry named 25 high ranking US officials or I guess if you consider Venezuela and John Oh he is. Actors that are banned from the country over their support of Ukraine during the invasion. Obviously, this is largely symbolic. I don't think Sean Pan or Ben Stiller are planning on filming anything in Russia or travelling there for pleasure, anytime. Soon, all the pen ",https://www.youtube.com/watch?v=pinYGgnrDs8,67,2022-09-06 18:29:45
8,Welcome to Yahoo Finance Live. It is 11 AM here in new york city. We are 90 minutes into the trading day let's take a ,https://www.youtube.com/watch?v=pinYGgnrDs8,68,2022-09-06 18:33:58
9,"To your point about demand destruction because of what's been playing out of China. We've seen some big currency moves on the back of this as well particularly in the Euro. Yeah, that's right. We are seeing the euro sliding against the dollar. So, let me pull up on our WiFi interactive board. We've got the US dollar against other currencies. You can see actually on the upper left, you've got the Japanese yen falling against the US dollar, said otherwise Us dollar at 20 year highs against a Japanese yen and you've also got the US dollar against the Euro higher as well this is the euro is at a 20 year low against the US dollar I'm actually gonna Up a year to day chart so you can see the moves in the currencies the upper left is the Argentine Hey so you've got the yen the British pound look when you have a US dollar that is very strong this hurts emerging markets it hurts countries that has that have their debt in dollars it hurts also the US multinational Sell their services and their products abroad because it makes those services and products more expensive abroad. So, we are seeing these very multi-decade levels for the US dollar against these other currencies. Yeah, those currency had when something we've heard from so many companies warning about that. I will continue to watch it. Thanks so Not only affecting markets but also of course trickling down to the economy. Let's bring in our first guest for the hour to give us a picture of the economic outlook here. FS invest ",https://www.youtube.com/watch?v=pinYGgnrDs8,69,2022-09-06 18:38:23
10,"Hey I've also add just the broader crude oil prices you know this is the problem when you under invest in a sector for To 7 years Funny way when you think about the connection between the economy and financial markets it's could be good for growth GDP Grove but it could impact margins and make it tough for traditional assets. I do think that over the winter commodities are gonna be a huge wildcard. You know, we've seen that July In the S and P 500. And I think that's been proven out because policy is still uncertain. The economy is still uncertain. And commodities really amplify that. We've had this decline for now but given the really low growth trajectory, Active oil is still where it is. Below where it was, right? But i think without Russia and Ukraine conflict, oil would be more like $70 a bar and not where it is today. So, I think we're still paying a premium front certainty for geopolitical certainty and that's still a real problem for these traditional large cat equities. Laura getting back to some of the economic data here in the US. We had a jobs report come out on Friday. Someone argue is a bit of a Goldilocks scenario. You know, sort of showed that things were slowing but the job market was still strong. J Pal speaking again later this week. Has this changed anything at all in your view in terms of the trajectory for the fed going into that meeting later this month? ",https://www.youtube.com/watch?v=pinYGgnrDs8,70,2022-09-06 18:42:39
11,,https://www.youtube.com/watch?v=pinYGgnrDs8,71,2022-09-06 18:46:56
12,"Major crypto exchanges FDX and Coinbase. They do something similar for USDC, the Staple Coin, where they automatically convert it to US dollars. That's obviously the the key difference here is that they're finances of doing that. They're just converting it to their own stable coin. So, in some ways, this Have market makers Do less tactics to you know keep up liquidity of all their stable coins but in on another way in another angle it's sort of looks like a power grab by Binance. And David, in a separate crypto story, you know, we're in the final countdown for this big merge upgrade that's happening to theory. It feels like we've been talking about it forever. As of course, the blockchain for the second largest coin. Ether, what's the latest? I mean, how much of these price moves were seeing today? It's pegged to that as well. What do we expect? Yeah so the expectations that we know for the when the merge is finally completed which is sometime between September 10 and the 20th with most people saying something like 8 AM on September 15 that sort of like the majority projection but we really don't know but when the merge is complete At that time the the expectation is that Ethereum's energy conception will drop by 99. Five%. Theory Is gonna become the most popular trade in crypto over the last month ",https://www.youtube.com/watch?v=pinYGgnrDs8,72,2022-09-06 18:51:20
13,"Well, traders are bracing for a volatile month. This Wall St looks to a potential 75 basis point rate hike, both in the US, and in Europe. Now, research platform Using alternative methods to measure market volatility as global factors increasingly weigh on US markets. Joining us now is Hugh Roberts. Of analytics. Today before we get into what exactly QY measures let's talk about what viewers typically think as the fear gauge and we talk about the Vix a lot Why we need an alternative to that ",https://www.youtube.com/watch?v=pinYGgnrDs8,73,2022-09-06 18:55:40
14,"But by factors that are incredibly more tangent and typically more volatile so as our volume next moves around You can see we're moving from periods of stable macro fundamentals to less stable Sentiment driven markets and that's really how our clients use the volume indicator. So here let's break down some of those benchmarks that you highlighted that your dollar, the dollar, yen, the 10 year yield. I mean those are all you know we have seen huge swings there within 24 hours or so what is that tell you when when you break it down through QI you're index what does that tell you about where the market's headed? So what we're doing we do have valuation tools that can say for example the S and P 500 at the moment is currently half standard deviation cheap it is sold off slightly more aggressively than macro fundamentals warrant but what the volume did does is not evaluation tool it's looking at the ability of To explain price action and therefore say well Price action is not driven by macro. We are in these periods of You have to distinguish between a valuation tool which we can do or just a really trying to give people a heads up for when mark it up potentially about to go through about of risk golf and should really be thinking about their positioning and their sizing recording Okay who robbers inside head of analytics appreciate the time today thanks so much for joining us We're coming up putting a band aid on student loans. The president of Purdue University is gonna be joining us to discuss why he thinks the president student loan plan misses the mark. We'll be right back. ",https://www.youtube.com/watch?v=pinYGgnrDs8,74,2022-09-06 19:00:09
15,"Welcome to Yahoo Finance Live along with Dave Briggs and Rochelle of Kufo. Let's get you up to speed on today's market action, the final hour of trading in your seeing a lot of red here on your screen. The dow off just around ",https://www.youtube.com/watch?v=pinYGgnrDs8,75,2022-09-06 19:04:20
16,Say we have argue that US economy can achieve a soft landing even though the path is narrow what's your view just on the fed being able to navigate a soft landing at this Yeah I think the odds are probably one and three chances at this point and that's instinct with what Goldman has been saying given the ISM service data being stronger than expected but jobs numbers from last week also better than expected Is a buffer for the fed to continue to raise interest rates without Yeah knocking the economy back into recession so I think at this point the odds about one to three is is reasonable certainly as we get more data points that number certainly move quite a bit And Amy as you talk about the about that buffer there. How does the housing and rental sector play into that? It's a great question. I think as the affordability index for the real estate market continues to decline lower given that mortgage rates have shot higher quite a bit. I think the rental market is something where going to watch quite quite closely. You're you're seeing that on a month over month Increasing maybe half per percentage point but that may continue to be AA factor of YCPI numbers can stay elevated because again those leases are going to start to roll over into higher numbers as the as the real estate market continues to become less and less of affordable. Much more on the rental market across the country later in the show. What can be the next catalyst to move these markets back in the other direction? Yeah I think going into the next couple of weeks and and months there are a couple of things that I'm watching certainly we just finished the second quarter earning season the third quarter earning season is something that I'm ,https://www.youtube.com/watch?v=pinYGgnrDs8,76,2022-09-06 19:08:50
17,"Well perhaps there is one more CPI data number that's likely to Perhaps change the result if it comes down significant which we doubt but if that does happen I think the fed may reconsider but at this point given the fact that you know the ISM numbers as Probably go towards the 75 basis point rate height. Earnings here for the third quarter and then of course looking out to 2023 Morgan Sandley's Mike Wilson he was out with a note saying that in 2023 he expects profits to fall three% even in the absence of an economic recession I guess how Of a of a drop do you think we could potentially say You know, at this point, given the future earning season, the market is still expecting eight% growth rate for SMP 500 earnings. I think that is likely to move lower as we head into the Q, three earning season of course into the Year when companies can can report food here as well as 2023 guidance and so I think at this. Eight% broke is still pretty high I would expect something maybe low single digits to be probably the base case from what we're seeing given some of the management commentaries we've heard Alright, Amy calling always great to have you. Thanks so much for taking the time to stop by with us today. Alright, coming up, we are just getting started here on Yahoo Finance live. We will dig deep into bed ",https://www.youtube.com/watch?v=pinYGgnrDs8,77,2022-09-06 19:13:15
18,"Bear Bath and Beyond shares off nearly 20% this afternoon as a struggling retailer. Looks to restructure. It's business. Our next guest argues that the company could have been in a Better shape. If it didn't spend tons of money buying back its own shares. We wanna bring in Allen soon. A yahoo finance contributor joining us now. Alan, it's great to have you here on Yahoo Finance. You recently wrote for this site just talking about the amount that Bed Bath and Beyond has spent on buying back. It's own shares. How much more severe Think the company's problems are because of this Well art since 2004 which admittedly was a while ago. The company has spent almost 12 1 billion dollars buying in its own stock. It's born in three quarters of its stock. It currently has a net AA trading value of 450 1 million dollars and it's spent 20 times that much buying in its own stock and and the most recent year it spent a couple of 100 1 million dollars buying in its own stock and Save itself. Was it the act of buying stock back or was it the actual price they were paying in this case? It's the amount of cash that they showed out ",https://www.youtube.com/watch?v=pinYGgnrDs8,78,2022-09-06 19:17:42
