id,text,video_url,iteration,created_at
5529,Structure that will support the walls and create a more user-friendly experience. You are geotechanant The tada. I know you're ,https://www.youtube.com/watch?v=dp8PhLsUcFE,76,2022-09-04 00:00:29
5530,"Certain game that we haven't had to deal with. Television radio. Tag on the product may read made in the USA but Made in India. Alphabet sun dart patch eye Microsoft Sacha Nadella IBM's Arvin Krishna micron technology Sanjay Mehotra and that's And that doesn't count Indians running companies all over the world. Have so many Indians risen to the top. Incredibly competitive education system. If you can survive the pressure it takes to get into one of the Indian Institutes of Technology. It gives you confidence to handle American universities and later at the business world. Meanwhile the belief in India's ability to produce so many tech wizards is reinforced every year. Indians make Three fourths of the immigrants receiving coveted HoneB visas for the US. And it's a There's an old saying in finance that cash is king but when it comes to payments the data suggests that's no longer exactly the case according to the latest world pay report cash now figures less than 20% of in-person transactions around the world Came and sended it straight from the beginning cuz his really focused on getting Want to use electronic forms of of pen. In fact, if you look at like the US for example, ",https://www.youtube.com/watch?v=dp8PhLsUcFE,77,2022-09-04 00:04:46
5531,"Committing to expand this core and to diversify beyond it. We've been on a 6 year strategy to be a multi-rail company in plain English that means whichever way you pay people enable that despite the fact that card is an hour name is essentially any type of payment we have the reach so I think we're reasonably well positioned I mean you've just gotta recognize Not only where the consumers today but where they're gonna go because a lot of what we've got to do takes time to implement And is it difficult you'll get some you'll get it right sometimes you'll get it wrong sometime but hopefully you're getting it right more often than you're getting it wrong and you're working with through that Forecasting preferences is complicated by an uncertain economy consumer confidence has been plunging to historic lows and recession calls are getting louder still a slowdown isn't likely to cause a crisis for Mastercard and its peers. Contrary to what people often perceive I think famous as an industry it will be quite Brazilian in downtown Generally speaking Even during a recession, the amount that consumers spend actually does not go down. It continues to grow. I think the thing that people are worried about more in the payments industry is kind of how does the mix of spending change? First thing is that typically happens if you're going into a session environment is people tend to pull back on discretionary categories of spend they move into The non-discretionary category suspen ",https://www.youtube.com/watch?v=dp8PhLsUcFE,78,2022-09-04 00:09:19
5532,Absolutely known capabilities to meet that strategy and then follows gaps Is it best to build Or partner. And then we're out there and we're trying to find a right companies together. It's gonna make sure that we have a clear view on short and long term synergies and so forth. And then we both talk to shareholders and to investors to explain what we're doing and why we're doing it and why it's good. Shareholders have reason to appreciate MasterCard's capital allocation strategy. It's included annual share Insteadly increased dividends. Prioritize the amount of money that you put toward innovation and toward building out different businesses versus share buybacks and dividends because master card is traditionally had a robust program in rewarding shareholders. Right. The business. And returning excess cash to shareholders with a bias to a share buybacks. And then once you start to come to say I have dealt with my strategic priorities I either have invested in my organic roles or in acquisitions then access cash we will return back Leave with a preference for buybacks over dividend because it gives a small flexibility but that's been a good model for us. It's been working well and it's been well received by the market. Coming up how the tap has taken Mastercard places that the swipe alone could not What is really made a difference on has been in terms of how it's driving a shift from cash to electronic payment particularly on the small ticket items and later how master Cryptocurrencies. In the crypto world we play the role as an on ram. This is Bloomberg ,https://www.youtube.com/watch?v=dp8PhLsUcFE,79,2022-09-04 00:13:34
5533,Let's change the game for payment companies. Could I just go regular coffee with milk please? Yeah. Hey that would be 571. You got it. We're gonna make this work. There we go. I think contactless is a very powerful catalyst for accelerating In the last 2 years what we have seen in the US is god penetration guru threat annually has doubled What was the average The pandemic was one of the reasons people didn't want to touch Purchases the contact list definitely contributed to this It's made of change. It's really made a difference. What is really made a difference on has been in terms of how it's driving a shift from cash to electronic payment. Particularly on the small ticket items. Which is really really important. Cos at the end of the day our model is as much about converting the dollar value to spend as it is about the number of transactions we can Over on that one. Transaction Which we make revenue. On which we can deliver services and that's really important. Introduced PayPal it's first contact list payment system in 2002 but the technology took some time to gain traction I would say we first invested in this many many many years ago the adoption rate on this in the early part even in Marcus like the UK Canada Australia was fairly soon the early part the inflection point of when It really started to go ahead and straight was when it was used in the transit vertical. So what we figured is let's get all the transit systems around the globe. Enable for contact list technology. That will create muscle memory for the consumer who will like the experience and transfer them or use it elsewhere. ,https://www.youtube.com/watch?v=dp8PhLsUcFE,80,2022-09-04 00:18:20
5534,In your tech hubs can you act like bond James Bond what are the queue movies and like the laboratories you walk in and they you know you sort of face off and clear the system and they serve to this No that's not me. Coming up how MasterCard has embraced the brave new world of cryptocurrency with all its ups and downs. Too long as we follow our principles we think we're in really good shape Instruction mirror tells me what advice he to offer a CFO just starting out in the job. I think it's important to stay calm. I think it's important to recognize that change is going to happen. You can't fight change. This is bloomberg. Imagine simply climbing a cable into space. The concept is known as the space elevator. Not only could it significantly change how we leave planet earth But it could also completely transform humanities relationship with space. And there are scientists who think we could have already built it. We have the material. We have the technology. We have the lasers. We have the climbers. We have all of them. If a private entity wants to build it Or a government. Colonizing in the space how really spreading on the space will really change our society over the next 50 to 200 years. Be completely different. ,https://www.youtube.com/watch?v=dp8PhLsUcFE,81,2022-09-04 00:22:09
5535,"Money as in fear currency to buy crypto and react as the off ramp and the offer amp is when people wanna cash it We help them actually gain access to be able to use their crypto balances everywhere masterclass accepted. We engage with central banks on central bank digital currencies. We engage with governments on how a policy could look like, how regulation could like, look like, What solution actually is needed by whom and how we can bring it together. They have the greatest idea but the greatest idea it's a path to scale. That's all we can bring. Is there a potential liability because of the volatility because of how And certain other cryptocurrencies have been painted. Is there any liability for Mastercard? Yeah. Well, too long as we follow our principles, we think we're in really good shape. And the principles we care deeply about our Stability as instability of the currency in question Point number two it must meet consumer protection requirements. It must meet the laws of the land. And this is not new news to us. We've done this in the space for the last 50 years. For everything we've been working with regulated financial institutions on. And so which is why when we got into the space the first thing we did was to Principles and we will keep abiding by the principles and what we do. Happy because we're in the discussion. We're shaping the ecosystem And then 1 day it look like we'll be having done in many other spaces over years of of the past years. Mirror is a leader within a company that has the power and reach to shape ecosystems and he'll be making strategic and financial decisions that shape the business. I wanted to know what he sees when he looks ahead. ",https://www.youtube.com/watch?v=dp8PhLsUcFE,82,2022-09-04 00:26:29
5536,What advice would you give a CFO today? I I think it's important to stay calm. I think it it's important to recognize that change is going to happen. You can't fight change. What really matters is how you can get up and actually deal with that change. That's super important for our CFO. Being really clear and crisp in your communications. The outside world wants to hear in very simple terms. What exactly this company stands for and why they should believe that you are a good investment. I noticed I've said nothing about financials and I said nothing about necessarily financial infrastructure and systems because I do believe as a CFO. Those things are table sticks. You've gotta make sure that stuff happens. You gotta level technology. You gotta drive efficiency in the business. You gotta get the numbers right. You gotta have a good control in the moment. But what's gonna call you apart is the is the other elements which I spoke If MasterCard can meet ambitious goals for growth in its poor business Strategies that are taking payments to the next level such in Mary will deserve a lot of the credit. I'm Lisa Obramoids. This is Bloomberg. At some point you had to fight for the trademark right for the Red Soul. Yeah. Is that stressful? Very stressful. Very stressful. Especially you know I'm ,https://www.youtube.com/watch?v=dp8PhLsUcFE,83,2022-09-04 00:30:53
5537,"Before you change the world. Why did the biggest names in business choose Bloomberg? It's a great question. Japan's critical role in the global economy is changing as the Recalibrate. Japan's leaders are boarding a more innovative and sustainable path forward to revitalize the nation Corporate Giants policy makers and pioneers tell us how they're doing just that Every week on Japan ahead right here on Bloomberg Television. I'll talk to you about my own sort of fear of my kids playing too much a friend. If it like he's it's like a painting. Yeah. Like show it. Ask him to show it to you. Like like the same way you would treat a painting. Yeah. I'm gonna see what you mean. Yeah, that's right. So, Mm hmm. Do you have kids? I have two daughters. Do they play? But they not a lot cuz like growing up I think it was always the thing that dad did. He's in charge of one of the top gaming concerts in the world. Microsoft Xbox a 16 1 billion dollars business home to Minecraft hey look and perhaps soon call of duty If a 70 1 billion dollars deal to buy activation goes ",https://www.youtube.com/watch?v=dp8PhLsUcFE,84,2022-09-04 00:35:13
5538,"Company why are we in the video game business any he challenged us like let's go figure out why we're in the video game space and see if it makes sense and if it does let's be all in and if it doesn't we'd make other decisions early in that journey is when This game which I know you know about is Minecraft and the opportunity to acquire Minecraft came about like months after this moment. So, I might have a kid or two that move Minecraft, yes. And it really caused us as a team to think about okay, if you're gonna go spend two and a half Dollars on this blocky Java based game. How does this fit into the mission of this company? Let's talk about that strategy. Was the idea to tie gaming to the cloud? Was that the clincher? Minecraft or Fortnite or Roblox. These are games that play on iPads. They play an Xboxes, PlayStations, PCs. The games were going from per device to per user. And cloud would be an enabler for that but we didn't start with how do we fit cloud into video games. We were just kinda watching the trends of creators and where they were building. And saw this transformation of Games being ubiquitous. How does this all as you see it connect to Microsoft's future? The cool thing I see going on now and and it it does fit with the investments Microsoft's making in Azure and other Is today the world anybody is a creator and video games are going through that same transformation where if I rewind to my childhood and playing video games I walked into like an egghead software and there was a line of boxes we might go create the best game in the world but there No way for us to get it in front of an actual person who might wanna go play cuz we couldn't get shelf space all these things. We see gamers on our creators on our platform from all over the globe Who can create a game ",https://www.youtube.com/watch?v=dp8PhLsUcFE,85,2022-09-04 00:39:37
